<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ЛУКОЙЛ;D;21/09/20;000000;4511;2314832
ЛУКОЙЛ;D;22/09/20;000000;4529;1449534
ЛУКОЙЛ;D;23/09/20;000000;4456;1339531
ЛУКОЙЛ;D;24/09/20;000000;4563;1625362
ЛУКОЙЛ;D;25/09/20;000000;4560;1163926
ЛУКОЙЛ;D;28/09/20;000000;4627;1053803
ЛУКОЙЛ;D;29/09/20;000000;4508.5;1596613
ЛУКОЙЛ;D;30/09/20;000000;4470;1018573
ЛУКОЙЛ;D;01/10/20;000000;4408.5;1025318
ЛУКОЙЛ;D;02/10/20;000000;4379;1220040
ЛУКОЙЛ;D;05/10/20;000000;4479;1229441
ЛУКОЙЛ;D;06/10/20;000000;4519.5;1156151
ЛУКОЙЛ;D;07/10/20;000000;4474;1172361
ЛУКОЙЛ;D;08/10/20;000000;4498;954794
ЛУКОЙЛ;D;09/10/20;000000;4451.5;853414
ЛУКОЙЛ;D;12/10/20;000000;4445;612369
ЛУКОЙЛ;D;13/10/20;000000;4374.5;798784
ЛУКОЙЛ;D;14/10/20;000000;4364.5;932158
ЛУКОЙЛ;D;15/10/20;000000;4271;1447902
ЛУКОЙЛ;D;16/10/20;000000;4253;1483662
ЛУКОЙЛ;D;19/10/20;000000;4194;824375
ЛУКОЙЛ;D;20/10/20;000000;4270;951566
ЛУКОЙЛ;D;21/10/20;000000;4211.5;875044
ЛУКОЙЛ;D;22/10/20;000000;4307.5;1087150
ЛУКОЙЛ;D;23/10/20;000000;4325;1004104
ЛУКОЙЛ;D;26/10/20;000000;4223;884878
ЛУКОЙЛ;D;27/10/20;000000;4123.5;1238276
ЛУКОЙЛ;D;28/10/20;000000;4012.5;2009306
ЛУКОЙЛ;D;29/10/20;000000;4057.5;1375834
ЛУКОЙЛ;D;30/10/20;000000;4050;1228320
ЛУКОЙЛ;D;02/11/20;000000;4162;1698996
ЛУКОЙЛ;D;03/11/20;000000;4252;1530896
ЛУКОЙЛ;D;05/11/20;000000;4321.5;1398804
ЛУКОЙЛ;D;06/11/20;000000;4396;1366027
ЛУКОЙЛ;D;09/11/20;000000;4755;4572008
ЛУКОЙЛ;D;10/11/20;000000;4884.5;3271228
ЛУКОЙЛ;D;11/11/20;000000;4945;2667838
ЛУКОЙЛ;D;12/11/20;000000;4853;1865295
ЛУКОЙЛ;D;13/11/20;000000;4879;947188
ЛУКОЙЛ;D;16/11/20;000000;4932.5;1404218
ЛУКОЙЛ;D;17/11/20;000000;4864;1513399
ЛУКОЙЛ;D;18/11/20;000000;4890;1367818
ЛУКОЙЛ;D;19/11/20;000000;4916;1214118
ЛУКОЙЛ;D;20/11/20;000000;4948.5;767359
ЛУКОЙЛ;D;23/11/20;000000;5026.5;1805934
ЛУКОЙЛ;D;24/11/20;000000;5179.5;2122623
ЛУКОЙЛ;D;25/11/20;000000;5392.5;3141954
ЛУКОЙЛ;D;26/11/20;000000;5243;1827082
ЛУКОЙЛ;D;27/11/20;000000;5260;1650507
ЛУКОЙЛ;D;30/11/20;000000;5063;3722676
ЛУКОЙЛ;D;01/12/20;000000;5058.5;1507829
ЛУКОЙЛ;D;02/12/20;000000;5167;1544646
ЛУКОЙЛ;D;03/12/20;000000;5053;2013518
ЛУКОЙЛ;D;04/12/20;000000;5122;1514440
ЛУКОЙЛ;D;07/12/20;000000;5039.5;1185738
ЛУКОЙЛ;D;08/12/20;000000;4994;1265912
ЛУКОЙЛ;D;09/12/20;000000;5023;1549389
ЛУКОЙЛ;D;10/12/20;000000;5287;2582921
ЛУКОЙЛ;D;11/12/20;000000;5380;2278053
ЛУКОЙЛ;D;14/12/20;000000;5325;2110358
ЛУКОЙЛ;D;15/12/20;000000;5297.5;1487749
ЛУКОЙЛ;D;16/12/20;000000;5174;2286551
ЛУКОЙЛ;D;17/12/20;000000;5188;2016282
ЛУКОЙЛ;D;18/12/20;000000;5140;2725306
ЛУКОЙЛ;D;21/12/20;000000;5095.5;2458741
ЛУКОЙЛ;D;22/12/20;000000;5073;1160624
ЛУКОЙЛ;D;23/12/20;000000;5107;659202
ЛУКОЙЛ;D;24/12/20;000000;5105.5;434562
ЛУКОЙЛ;D;25/12/20;000000;5106;134720
ЛУКОЙЛ;D;28/12/20;000000;5101.5;688228
ЛУКОЙЛ;D;29/12/20;000000;5143;661210
ЛУКОЙЛ;D;30/12/20;000000;5169.5;790048
ЛУКОЙЛ;D;04/01/21;000000;5212.5;778343
ЛУКОЙЛ;D;05/01/21;000000;5358.5;1178943
ЛУКОЙЛ;D;06/01/21;000000;5376.5;1394998
ЛУКОЙЛ;D;08/01/21;000000;5556.5;2070143
ЛУКОЙЛ;D;11/01/21;000000;5599;2047794
ЛУКОЙЛ;D;12/01/21;000000;5721;1747049
ЛУКОЙЛ;D;13/01/21;000000;5755;2045581
ЛУКОЙЛ;D;14/01/21;000000;5937;2106542
ЛУКОЙЛ;D;15/01/21;000000;5888.5;1915743
ЛУКОЙЛ;D;18/01/21;000000;5873;1308036
ЛУКОЙЛ;D;19/01/21;000000;5892;1243631
ЛУКОЙЛ;D;20/01/21;000000;5864;966472
ЛУКОЙЛ;D;21/01/21;000000;5771;1832271
ЛУКОЙЛ;D;22/01/21;000000;5740.5;1639101
ЛУКОЙЛ;D;25/01/21;000000;5722;1320901
ЛУКОЙЛ;D;26/01/21;000000;5595.5;1622050
ЛУКОЙЛ;D;27/01/21;000000;5499.5;1733280
ЛУКОЙЛ;D;28/01/21;000000;5575;1686020
ЛУКОЙЛ;D;29/01/21;000000;5377;2021903
ЛУКОЙЛ;D;01/02/21;000000;5406;2113706
ЛУКОЙЛ;D;02/02/21;000000;5516;2451039
ЛУКОЙЛ;D;03/02/21;000000;5555;1799457
ЛУКОЙЛ;D;04/02/21;000000;5699.5;2271731
