<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Возрожд-ао;W;21/03/16;000000;514;707
Возрожд-ао;W;28/03/16;000000;503;463
Возрожд-ао;W;04/04/16;000000;484;1171
Возрожд-ао;W;11/04/16;000000;468;383
Возрожд-ао;W;18/04/16;000000;501;34446
Возрожд-ао;W;25/04/16;000000;510;7878
Возрожд-ао;W;02/05/16;000000;520;8360
Возрожд-ао;W;09/05/16;000000;748;45340
Возрожд-ао;W;16/05/16;000000;639;30976
Возрожд-ао;W;23/05/16;000000;649;5994
Возрожд-ао;W;30/05/16;000000;643;915
Возрожд-ао;W;06/06/16;000000;641,5;378
Возрожд-ао;W;13/06/16;000000;642;927
Возрожд-ао;W;20/06/16;000000;642,5;629
Возрожд-ао;W;27/06/16;000000;643,5;1132
Возрожд-ао;W;04/07/16;000000;647,5;785
Возрожд-ао;W;11/07/16;000000;644,5;2791
Возрожд-ао;W;18/07/16;000000;642;800
Возрожд-ао;W;25/07/16;000000;645;163
Возрожд-ао;W;01/08/16;000000;644,5;3386
Возрожд-ао;W;08/08/16;000000;644;2493
Возрожд-ао;W;15/08/16;000000;662;2455
Возрожд-ао;W;22/08/16;000000;693;4238
Возрожд-ао;W;29/08/16;000000;688,5;2734
Возрожд-ао;W;05/09/16;000000;687,5;619
Возрожд-ао;W;12/09/16;000000;689;908
Возрожд-ао;W;19/09/16;000000;695;1080
Возрожд-ао;W;26/09/16;000000;716,5;11949
Возрожд-ао;W;03/10/16;000000;715;3734
Возрожд-ао;W;10/10/16;000000;719,5;381
Возрожд-ао;W;17/10/16;000000;698,5;2924
Возрожд-ао;W;24/10/16;000000;698,5;148
Возрожд-ао;W;31/10/16;000000;708;79
Возрожд-ао;W;07/11/16;000000;708;816
Возрожд-ао;W;14/11/16;000000;705;1748
Возрожд-ао;W;21/11/16;000000;705;2995
Возрожд-ао;W;28/11/16;000000;711;2380
Возрожд-ао;W;05/12/16;000000;706;603
Возрожд-ао;W;12/12/16;000000;708;1227
Возрожд-ао;W;19/12/16;000000;750;9171
Возрожд-ао;W;26/12/16;000000;749,5;2343
Возрожд-ао;W;02/01/17;000000;750;1814
Возрожд-ао;W;09/01/17;000000;741;299
Возрожд-ао;W;16/01/17;000000;755;197
Возрожд-ао;W;23/01/17;000000;762;780
Возрожд-ао;W;30/01/17;000000;768,5;584
Возрожд-ао;W;06/02/17;000000;766;1556
Возрожд-ао;W;13/02/17;000000;760;508
Возрожд-ао;W;20/02/17;000000;760;661
Возрожд-ао;W;27/02/17;000000;754,5;1849
Возрожд-ао;W;06/03/17;000000;743;2657
Возрожд-ао;W;13/03/17;000000;740;516
Возрожд-ао;W;20/03/17;000000;743,5;31
Возрожд-ао;W;27/03/17;000000;737;485
Возрожд-ао;W;03/04/17;000000;737;117
Возрожд-ао;W;10/04/17;000000;722;3709
Возрожд-ао;W;17/04/17;000000;735;7372
Возрожд-ао;W;24/04/17;000000;742;2071
Возрожд-ао;W;01/05/17;000000;741;2189
Возрожд-ао;W;08/05/17;000000;742;153
Возрожд-ао;W;15/05/17;000000;744;169
Возрожд-ао;W;22/05/17;000000;748;1836
Возрожд-ао;W;29/05/17;000000;741;1145
Возрожд-ао;W;05/06/17;000000;743;2094
Возрожд-ао;W;12/06/17;000000;742,5;59
Возрожд-ао;W;19/06/17;000000;742;8250
Возрожд-ао;W;26/06/17;000000;742,5;480
Возрожд-ао;W;03/07/17;000000;745;512
